proper_names	mapping_vec
ENSG00000131023	LATS1
ENSG00000131037	EPS8L1
ENSG00000131042	LILRB2
ENSG00000131043	AAR2
ENSG00000131044	TTLL9
ENSG00000131050	BPIFA2
ENSG00000131051	RBM39
ENSG00000131055	COX4I2
ENSG00000131059	BPIFA3
ENSG00000131061	ZNF341
ENSG00000131067	GGT7
ENSG00000131068	DEFB118
ENSG00000131069	ACSS2
ENSG00000131080	EDA2R
ENSG00000131089	ARHGEF9
ENSG00000131094	C1QL1
ENSG00000131095	GFAP
ENSG00000131096	PYY
ENSG00000131097	HIGD1B
ENSG00000131100	ATP6V1E1
ENSG00000131115	ZNF227
ENSG00000131116	ZNF428
ENSG00000131126	TEX101
ENSG00000131127	ZNF141
ENSG00000131142	CCL25
ENSG00000131143	COX4I1
ENSG00000131148	EMC8
ENSG00000131149	GSE1
ENSG00000131153	GINS2
ENSG00000131165	CHMP1A
ENSG00000131171	SH3BGRL
ENSG00000131174	COX7B
ENSG00000131183	SLC34A1
ENSG00000131187	F12
ENSG00000131188	PRR7
ENSG00000131196	NFATC1
ENSG00000131203	IDO1
ENSG00000131236	CAP1
ENSG00000131238	PPT1
ENSG00000131242	RAB11FIP4
ENSG00000131263	RLIM
ENSG00000131264	CDX4
ENSG00000131269	ABCB7
ENSG00000131323	TRAF3
ENSG00000131351	HAUS8
ENSG00000131355	ADGRE3
ENSG00000131368	MRPS25
ENSG00000131370	SH3BP5
ENSG00000131373	HACL1
ENSG00000131374	TBC1D5
ENSG00000131375	CAPN7
ENSG00000131378	RFTN1
ENSG00000131379	C3orf20
ENSG00000131381	RBSN
ENSG00000131386	GALNT15
ENSG00000131389	SLC6A6
ENSG00000131398	KCNC3
ENSG00000131400	NAPSA
ENSG00000131401	NAPSB
ENSG00000131408	NR1H2
ENSG00000131409	LRRC4B
ENSG00000131435	PDLIM4
ENSG00000131437	KIF3A
ENSG00000131446	MGAT1
ENSG00000131459	GFPT2
ENSG00000131462	TUBG1
ENSG00000131467	PSME3
ENSG00000131470	PSMC3IP
ENSG00000131471	AOC3
ENSG00000131473	ACLY
ENSG00000131475	VPS25
ENSG00000131477	RAMP2
ENSG00000131480	AOC2
ENSG00000131482	G6PC
ENSG00000131495	NDUFA2
ENSG00000131504	DIAPH1
ENSG00000131507	NDFIP1
ENSG00000131508	UBE2D2
ENSG00000131558	EXOC4
ENSG00000131584	ACAP3
ENSG00000131591	C1orf159
ENSG00000131620	ANO1
ENSG00000131626	PPFIA1
ENSG00000131634	TMEM204
ENSG00000131650	KREMEN2
ENSG00000131652	THOC6
ENSG00000131653	TRAF7
ENSG00000131668	BARX1
ENSG00000131669	NINJ1
ENSG00000131686	CA6
ENSG00000131697	NPHP4
ENSG00000131711	MAP1B
ENSG00000131724	IL13RA1
ENSG00000131725	WDR44
ENSG00000131730	CKMT2
ENSG00000131732	ZCCHC9
ENSG00000131737	KRT34
ENSG00000131738	KRT33B
ENSG00000131746	TNS4
ENSG00000131747	TOP2A
ENSG00000131748	STARD3
ENSG00000131759	RARA
ENSG00000131771	PPP1R1B
ENSG00000131773	KHDRBS3
ENSG00000131778	CHD1L
ENSG00000131779	PEX11B
ENSG00000131781	FMO5
ENSG00000131788	PIAS3
ENSG00000131791	PRKAB2
ENSG00000131797	CLUHP3
ENSG00000131808	FSHB
ENSG00000131828	PDHA1
ENSG00000131831	RAI2
ENSG00000131844	MCCC2
ENSG00000131845	
ENSG00000131848	ZSCAN5A
ENSG00000131849	ZNF132
ENSG00000131864	USP29
ENSG00000131871	SELENOS
ENSG00000131873	CHSY1
ENSG00000131876	SNRPA1
ENSG00000131899	LLGL1
ENSG00000131910	NR0B2
ENSG00000131914	LIN28A
ENSG00000131931	THAP1
ENSG00000131941	RHPN2
ENSG00000131943	C19orf12
ENSG00000131944	FAAP24
ENSG00000131966	ACTR10
ENSG00000131969	ABHD12B
ENSG00000131979	GCH1
ENSG00000131981	LGALS3
ENSG00000132000	PODNL1
ENSG00000132002	DNAJB1
ENSG00000132004	FBXW9
ENSG00000132005	RFX1
ENSG00000132016	C19orf57
ENSG00000132017	DCAF15
ENSG00000132024	CC2D1A
ENSG00000132031	MATN3
ENSG00000132109	TRIM21
ENSG00000132122	SPATA6
ENSG00000132128	LRRC41
ENSG00000132141	CCT6B
ENSG00000132153	DHX30
ENSG00000132155	RAF1
ENSG00000132164	SLC6A11
ENSG00000132170	PPARG
ENSG00000132182	NUP210
ENSG00000132185	FCRLA
ENSG00000132199	ENOSF1
ENSG00000132204	LINC00470
ENSG00000132205	EMILIN2
ENSG00000132254	ARFIP2
ENSG00000132256	TRIM5
ENSG00000132259	CNGA4
ENSG00000132274	TRIM22
ENSG00000132275	RRP8
ENSG00000132294	EFR3A
ENSG00000132300	PTCD3
ENSG00000132305	IMMT
ENSG00000132313	MRPL35
ENSG00000132321	IQCA1
ENSG00000132323	ILKAP
ENSG00000132326	PER2
ENSG00000132329	RAMP1
ENSG00000132334	PTPRE
ENSG00000132341	RAN
ENSG00000132356	PRKAA1
ENSG00000132357	CARD6
ENSG00000132359	
ENSG00000132361	CLUH
ENSG00000132376	INPP5K
ENSG00000132382	MYBBP1A
ENSG00000132383	RPA1
ENSG00000132386	SERPINF1
ENSG00000132388	UBE2G1
ENSG00000132394	EEFSEC
ENSG00000132405	TBC1D14
ENSG00000132406	TMEM128
ENSG00000132423	COQ3
ENSG00000132424	PNISR
ENSG00000132429	POPDC3
ENSG00000132432	SEC61G
ENSG00000132434	LANCL2
ENSG00000132436	FIGNL1
ENSG00000132437	DDC
ENSG00000132446	FTHL17
ENSG00000132463	GRSF1
ENSG00000132464	ENAM
ENSG00000132465	JCHAIN
ENSG00000132466	ANKRD17
ENSG00000132467	UTP3
ENSG00000132470	ITGB4
ENSG00000132471	WBP2
ENSG00000132475	H3-3B
ENSG00000132478	UNK
ENSG00000132481	TRIM47
ENSG00000132485	ZRANB2
ENSG00000132507	EIF5A
ENSG00000132510	KDM6B
ENSG00000132514	CLEC10A
ENSG00000132517	SLC52A1
ENSG00000132518	GUCY2D
ENSG00000132530	XAF1
ENSG00000132535	DLG4
ENSG00000132541	RIDA
ENSG00000132549	VPS13B
ENSG00000132554	RGS22
ENSG00000132561	MATN2
ENSG00000132563	REEP2
ENSG00000132570	PCBD2
ENSG00000132581	SDF2
ENSG00000132589	FLOT2
ENSG00000132591	ERAL1
ENSG00000132600	PRMT7
ENSG00000132603	NIP7
ENSG00000132604	TERF2
ENSG00000132612	VPS4A
ENSG00000132613	MTSS2
ENSG00000132622	HSPA12B
ENSG00000132623	ANKEF1
ENSG00000132631	SCP2D1
ENSG00000132635	PCED1A
ENSG00000132639	SNAP25
ENSG00000132640	BTBD3
ENSG00000132646	PCNA
ENSG00000132661	NXT1
ENSG00000132664	POLR3F
ENSG00000132669	RIN2
ENSG00000132670	PTPRA
ENSG00000132677	RHBG
ENSG00000132680	KHDC4
ENSG00000132681	ATP1A4
ENSG00000132688	NES
ENSG00000132692	BCAN
ENSG00000132693	CRP
ENSG00000132694	ARHGEF11
ENSG00000132698	RAB25
ENSG00000132702	HAPLN2
ENSG00000132703	APCS
ENSG00000132704	FCRL2
ENSG00000132716	DCAF8
ENSG00000132718	SYT11
ENSG00000132740	IGHMBP2
ENSG00000132744	ACY3
ENSG00000132746	ALDH3B2
ENSG00000132749	TESMIN
ENSG00000132763	MMACHC
ENSG00000132768	DPH2
ENSG00000132773	TOE1
ENSG00000132780	NASP
ENSG00000132781	MUTYH
ENSG00000132792	CTNNBL1
ENSG00000132793	LPIN3
ENSG00000132801	ZSWIM3
ENSG00000132819	RBM38
ENSG00000132821	VSTM2L
ENSG00000132823	OSER1
ENSG00000132824	SERINC3
ENSG00000132825	PPP1R3D
ENSG00000132832	
ENSG00000132837	DMGDH
ENSG00000132840	BHMT2
ENSG00000132842	AP3B1
ENSG00000132846	ZBED3
ENSG00000132849	PATJ
ENSG00000132854	KANK4
ENSG00000132855	ANGPTL3
ENSG00000132872	SYT4
ENSG00000132874	SLC14A2
ENSG00000132879	FBXO44
ENSG00000132881	CPLANE2
ENSG00000132906	CASP9
ENSG00000132911	NMUR2
ENSG00000132912	DCTN4
ENSG00000132915	PDE6A
ENSG00000132932	ATP8A2
ENSG00000132938	MTUS2
ENSG00000132950	ZMYM5
ENSG00000132952	USPL1
ENSG00000132953	XPO4
ENSG00000132963	POMP
ENSG00000132964	CDK8
ENSG00000132965	ALOX5AP
ENSG00000132970	WASF3
ENSG00000132972	RNF17
ENSG00000132975	GPR12
ENSG00000133019	CHRM3
ENSG00000133020	MYH8
ENSG00000133026	MYH10
ENSG00000133027	PEMT
ENSG00000133028	SCO1
ENSG00000133030	MPRIP
ENSG00000133048	CHI3L1
ENSG00000133055	MYBPH
ENSG00000133056	PIK3C2B
ENSG00000133059	DSTYK
ENSG00000133063	CHIT1
ENSG00000133065	SLC41A1
ENSG00000133067	LGR6
ENSG00000133069	TMCC2
ENSG00000133083	DCLK1
ENSG00000133101	CCNA1
ENSG00000133103	COG6
ENSG00000133104	SPART
ENSG00000133105	RXFP2
ENSG00000133106	EPSTI1
ENSG00000133107	TRPC4
ENSG00000133110	POSTN
ENSG00000133111	RFXAP
ENSG00000133112	TPT1
ENSG00000133114	GPALPP1
ENSG00000133115	STOML3
ENSG00000133116	KL
ENSG00000133119	RFC3
ENSG00000133121	STARD13
ENSG00000133124	IRS4
ENSG00000133131	MORC4
ENSG00000133134	BEX2
ENSG00000133135	RNF128
ENSG00000133138	TBC1D8B
ENSG00000133142	TCEAL4
ENSG00000133169	BEX1
ENSG00000133193	FAM104A
ENSG00000133195	SLC39A11
ENSG00000133216	EPHB2
ENSG00000133226	SRRM1
ENSG00000133243	BTBD2
ENSG00000133246	PRAM1
ENSG00000133247	KMT5C
ENSG00000133250	ZNF414
ENSG00000133256	PDE6B
ENSG00000133265	HSPBP1
ENSG00000133275	CSNK1G2
ENSG00000133302	SLF1
ENSG00000133313	CNDP2
ENSG00000133315	MACROD1
ENSG00000133316	WDR74
ENSG00000133317	LGALS12
ENSG00000133318	RTN3
ENSG00000133321	PLAAT4
ENSG00000133328	PLAAT2
ENSG00000133392	MYH11
ENSG00000133393	FOPNL
ENSG00000133398	MED10
ENSG00000133401	PDZD2
ENSG00000133422	MORC2
ENSG00000133424	LARGE1
ENSG00000133454	MYO18B
ENSG00000133466	C1QTNF6
ENSG00000133477	FAM83F
ENSG00000133488	SEC14L4
ENSG00000133519	ZDHHC8P1
ENSG00000133561	GIMAP6
ENSG00000133574	GIMAP4
ENSG00000133597	ADCK2
ENSG00000133606	MKRN1
ENSG00000133612	AGAP3
ENSG00000133619	KRBA1
ENSG00000133624	ZNF767P
ENSG00000133627	ACTR3B
ENSG00000133636	NTS
ENSG00000133639	BTG1
ENSG00000133640	LRRIQ1
ENSG00000133641	C12orf29
ENSG00000133657	ATP13A3
ENSG00000133661	SFTPD
ENSG00000133665	DYDC2
ENSG00000133678	TMEM254
ENSG00000133687	TMTC1
ENSG00000133703	KRAS
ENSG00000133704	IPO8
ENSG00000133706	LARS1
ENSG00000133710	SPINK5
ENSG00000133731	IMPA1
ENSG00000133739	LRRCC1
ENSG00000133740	E2F5
ENSG00000133742	CA1
ENSG00000133773	CCDC59
ENSG00000133789	SWAP70
ENSG00000133794	ARNTL
ENSG00000133800	LYVE1
ENSG00000133805	AMPD3
ENSG00000133808	
ENSG00000133812	SBF2
ENSG00000133816	MICAL2
ENSG00000133818	RRAS2
ENSG00000133835	HSD17B4
ENSG00000133858	ZFC3H1
ENSG00000133863	TEX15
ENSG00000133872	SARAF
ENSG00000133874	RNF122
ENSG00000133878	DUSP26
ENSG00000133884	DPF2
ENSG00000133895	MEN1
ENSG00000133935	ERG28
ENSG00000133937	GSC
ENSG00000133943	DGLUCY
ENSG00000133958	UNC79
ENSG00000133961	NUMB
ENSG00000133962	CATSPERB
ENSG00000133980	VRTN
ENSG00000133983	COX16
ENSG00000133985	TTC9
ENSG00000133997	MED6
ENSG00000134001	EIF2S1
ENSG00000134013	LOXL2
ENSG00000134014	ELP3
ENSG00000134020	PEBP4
ENSG00000134028	ADAMDEC1
ENSG00000134030	CTIF
ENSG00000134042	MRO
ENSG00000134046	MBD2
ENSG00000134056	MRPS36
ENSG00000134057	CCNB1
ENSG00000134058	CDK7
ENSG00000134061	CD180
ENSG00000134070	IRAK2
ENSG00000134072	CAMK1
ENSG00000134077	THUMPD3
ENSG00000134107	BHLHE40
ENSG00000134108	ARL8B
ENSG00000134109	EDEM1
ENSG00000134115	CNTN6
ENSG00000134121	CHL1
ENSG00000134138	MEIS2
ENSG00000134146	DPH6
ENSG00000134152	KATNBL1
ENSG00000134153	EMC7
ENSG00000134160	TRPM1
ENSG00000134183	GNAT2
ENSG00000134186	PRPF38B
ENSG00000134193	REG4
ENSG00000134198	TSPAN2
ENSG00000134200	TSHB
ENSG00000134201	GSTM5
ENSG00000134202	GSTM3
ENSG00000134207	SYT6
ENSG00000134215	VAV3
ENSG00000134216	CHIA
ENSG00000134222	PSRC1
ENSG00000134240	HMGCS2
ENSG00000134242	PTPN22
ENSG00000134243	SORT1
ENSG00000134245	WNT2B
ENSG00000134247	PTGFRN
ENSG00000134248	LAMTOR5
ENSG00000134249	ADAM30
ENSG00000134250	NOTCH2
ENSG00000134253	TRIM45
ENSG00000134255	CEPT1
ENSG00000134256	CD101
ENSG00000134258	VTCN1
ENSG00000134259	NGF
ENSG00000134262	AP4B1
ENSG00000134265	NAPG
ENSG00000134278	SPIRE1
ENSG00000134283	PPHLN1
ENSG00000134291	TMEM106C
ENSG00000134294	SLC38A2
ENSG00000134297	PLEKHA8P1
ENSG00000134313	KIDINS220
ENSG00000134317	GRHL1
ENSG00000134318	ROCK2
ENSG00000134321	RSAD2
ENSG00000134323	MYCN
ENSG00000134324	LPIN1
ENSG00000134326	CMPK2
ENSG00000134330	IAH1
ENSG00000134343	ANO3
ENSG00000134352	IL6ST
ENSG00000134363	FST
ENSG00000134369	NAV1
ENSG00000134371	CDC73
ENSG00000134375	TIMM17A
ENSG00000134376	CRB1
ENSG00000134389	CFHR5
ENSG00000134398	
ENSG00000134419	RPS15A
ENSG00000134438	RAX
ENSG00000134440	NARS1
ENSG00000134443	GRP
ENSG00000134444	RELCH
ENSG00000134452	FBH1
ENSG00000134453	RBM17
ENSG00000134460	IL2RA
ENSG00000134461	ANKRD16
ENSG00000134463	ECHDC3
ENSG00000134470	IL15RA
ENSG00000134480	CCNH
ENSG00000134489	HRH4
ENSG00000134490	TMEM241
ENSG00000134504	KCTD1
ENSG00000134508	CABLES1
ENSG00000134516	DOCK2
ENSG00000134531	EMP1
ENSG00000134532	SOX5
ENSG00000134533	RERG
ENSG00000134538	SLCO1B1
ENSG00000134539	KLRD1
ENSG00000134548	SPX
ENSG00000134569	LRP4
ENSG00000134571	MYBPC3
ENSG00000134574	DDB2
ENSG00000134575	ACP2
ENSG00000134588	USP26
ENSG00000134590	RTL8C
ENSG00000134594	RAB33A
ENSG00000134595	SOX3
ENSG00000134597	RBMX2
ENSG00000134602	STK26
ENSG00000134627	PIWIL4
ENSG00000134640	MTNR1B
ENSG00000134644	PUM1
ENSG00000134668	SPOCD1
ENSG00000134684	YARS1
ENSG00000134686	PHC2
ENSG00000134690	CDCA8
ENSG00000134697	GNL2
ENSG00000134698	AGO4
ENSG00000134709	HOOK1
ENSG00000134716	CYP2J2
ENSG00000134717	BTF3L4
ENSG00000134744	TUT4
ENSG00000134748	PRPF38A
ENSG00000134755	DSC2
ENSG00000134757	DSG3
ENSG00000134758	RNF138
ENSG00000134759	ELP2
ENSG00000134760	DSG1
ENSG00000134762	DSC3
ENSG00000134765	DSC1
ENSG00000134769	DTNA
ENSG00000134775	FHOD3
ENSG00000134779	TPGS2
ENSG00000134780	DAGLA
ENSG00000134809	TIMM10
ENSG00000134812	CBLIF
ENSG00000134815	DHX34
ENSG00000134817	APLNR
ENSG00000134824	FADS2
ENSG00000134825	TMEM258
ENSG00000134827	TCN1
ENSG00000134830	C5AR2
ENSG00000134851	TMEM165
ENSG00000134852	CLOCK
ENSG00000134853	PDGFRA
ENSG00000134864	GGACT
ENSG00000134871	COL4A2
ENSG00000134873	CLDN10
ENSG00000134874	DZIP1
ENSG00000134882	UBAC2
ENSG00000134884	ARGLU1
ENSG00000134899	ERCC5
ENSG00000134900	TPP2
ENSG00000134901	POGLUT2
ENSG00000134905	CARS2
ENSG00000134909	ARHGAP32
ENSG00000134910	STT3A
ENSG00000134917	ADAMTS8
ENSG00000134940	ACRV1
ENSG00000134954	ETS1
ENSG00000134962	KLB
ENSG00000134982	APC
ENSG00000134986	NREP
ENSG00000134987	WDR36
ENSG00000134996	OSTF1
ENSG00000135002	RFK
ENSG00000135018	UBQLN1
ENSG00000135040	NAA35
ENSG00000135045	C9orf40
ENSG00000135046	ANXA1
ENSG00000135047	CTSL
ENSG00000135048	CEMIP2
ENSG00000135049	AGTPBP1
ENSG00000135052	GOLM1
ENSG00000135063	FAM189A2
ENSG00000135069	PSAT1
ENSG00000135070	ISCA1
ENSG00000135074	ADAM19
ENSG00000135077	HAVCR2
ENSG00000135083	CCNJL
ENSG00000135090	TAOK3
ENSG00000135093	USP30
ENSG00000135094	SDS
ENSG00000135097	MSI1
ENSG00000135100	HNF1A
ENSG00000135108	FBXO21
ENSG00000135111	TBX3
ENSG00000135114	OASL
ENSG00000135116	HRK
ENSG00000135119	RNFT2
ENSG00000135124	P2RX4
ENSG00000135127	BICDL1
ENSG00000135144	DTX1
ENSG00000135148	TRAFD1
ENSG00000135164	DMTF1
ENSG00000135185	TMEM243
ENSG00000135205	CCDC146
ENSG00000135211	TMEM60
ENSG00000135218	CD36
ENSG00000135220	UGT2A3
ENSG00000135222	CSN2
ENSG00000135241	PNPLA8
ENSG00000135248	FAM71F1
ENSG00000135249	RINT1
ENSG00000135250	SRPK2
ENSG00000135253	KCP
ENSG00000135269	TES
ENSG00000135272	MDFIC
ENSG00000135297	MTO1
ENSG00000135298	ADGRB3
ENSG00000135299	ANKRD6
ENSG00000135312	HTR1B
ENSG00000135314	KHDC1
ENSG00000135315	CEP162
ENSG00000135316	SYNCRIP
ENSG00000135317	SNX14
ENSG00000135318	NT5E
ENSG00000135324	MRAP2
ENSG00000135333	EPHA7
ENSG00000135334	AKIRIN2
ENSG00000135336	ORC3
ENSG00000135338	LCA5
ENSG00000135341	MAP3K7
ENSG00000135346	CGA
ENSG00000135355	GJA10
ENSG00000135362	PRR5L
ENSG00000135363	LMO2
ENSG00000135365	PHF21A
ENSG00000135372	NAT10
ENSG00000135373	EHF
ENSG00000135374	ELF5
ENSG00000135378	PRRG4
ENSG00000135387	CAPRIN1
ENSG00000135390	ATP5MC2
ENSG00000135404	CD63
ENSG00000135406	PRPH
ENSG00000135407	AVIL
ENSG00000135409	AMHR2
ENSG00000135413	LACRT
ENSG00000135414	GDF11
ENSG00000135423	GLS2
ENSG00000135424	ITGA7
ENSG00000135426	TESPA1
ENSG00000135436	FAM186B
ENSG00000135439	AGAP2
ENSG00000135443	KRT85
ENSG00000135446	CDK4
ENSG00000135447	PPP1R1A
ENSG00000135451	TROAP
ENSG00000135452	TSPAN31
ENSG00000135454	B4GALNT1
ENSG00000135457	TFCP2
ENSG00000135469	COQ10A
ENSG00000135472	FAIM2
ENSG00000135473	PAN2
ENSG00000135476	ESPL1
ENSG00000135480	KRT7
ENSG00000135502	SLC26A10
ENSG00000135503	ACVR1B
ENSG00000135506	OS9
ENSG00000135517	MIP
ENSG00000135519	KCNH3
ENSG00000135521	LTV1
ENSG00000135525	MAP7
ENSG00000135535	CD164
ENSG00000135537	AFG1L
ENSG00000135540	NHSL1
ENSG00000135541	AHI1
ENSG00000135547	HEY2
ENSG00000135549	PKIB
ENSG00000135569	TAAR5
ENSG00000135577	NMBR
ENSG00000135587	SMPD2
ENSG00000135596	MICAL1
ENSG00000135597	REPS1
ENSG00000135604	STX11
ENSG00000135605	TEC
ENSG00000135617	PRADC1
ENSG00000135622	SEMA4F
ENSG00000135624	CCT7
ENSG00000135625	EGR4
ENSG00000135631	RAB11FIP5
ENSG00000135632	SMYD5
ENSG00000135636	DYSF
ENSG00000135637	CCDC142
ENSG00000135638	EMX1
ENSG00000135643	KCNMB4
ENSG00000135655	USP15
ENSG00000135677	GNS
ENSG00000135678	CPM
ENSG00000135679	MDM2
ENSG00000135686	KLHL36
ENSG00000135697	BCO1
ENSG00000135698	MPHOSPH6
ENSG00000135709	KIAA0513
ENSG00000135720	DYNC1LI2
ENSG00000135722	FBXL8
ENSG00000135723	FHOD1
ENSG00000135736	CCDC102A
ENSG00000135740	SLC9A5
ENSG00000135744	AGT
ENSG00000135747	ZNF670-ZNF695
ENSG00000135749	PCNX2
ENSG00000135750	KCNK1
ENSG00000135763	URB2
ENSG00000135766	EGLN1
ENSG00000135773	CAPN9
ENSG00000135775	COG2
ENSG00000135776	ABCB10
ENSG00000135778	NTPCR
ENSG00000135801	TAF5L
ENSG00000135821	GLUL
ENSG00000135823	STX6
ENSG00000135824	RGS8
ENSG00000135828	RNASEL
ENSG00000135829	DHX9
ENSG00000135835	KIAA1614
ENSG00000135837	CEP350
ENSG00000135838	NPL
ENSG00000135842	NIBAN1
ENSG00000135845	PIGC
ENSG00000135862	LAMC1
ENSG00000135870	RC3H1
ENSG00000135898	GPR55
ENSG00000135899	SP110
ENSG00000135900	MRPL44
ENSG00000135902	CHRND
